# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	27887
#@/user_id	nixos-ysun
a 	啊	c=87 d=10.9857 t=27887
a 	阿	c=2 d=1.19351 t=27887
a a a a a a 	啊啊啊啊啊啊	c=0 d=0.0571209 t=27887
a a a a a a a a a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=0.574072 t=27887
a ba 	阿爸	c=2 d=1.44145 t=27887
a dui 	啊對	c=1 d=0.690734 t=27887
a ha 	啊哈	c=1 d=0.65377 t=27887
a ha ha ha ha 	啊哈哈哈哈	c=1 d=0.718924 t=27887
a li 	阿里	c=0 d=0.0786628 t=27887
a li yun 	阿里雲	c=1 d=0.790571 t=27887
a nv 	阿女	c=2 d=0.891945 t=27887
ai 	哎	c=1 d=0.810584 t=27887
ai 	唉	c=6 d=2.7442 t=27887
ai hao zhe 	愛好者	c=1 d=0.822835 t=27887
ai lve te 	艾略特	c=1 d=0.286505 t=27887
ai nin 	愛您	c=1 d=0.379083 t=27887
ai ren 	矮人	c=1 d=0.470011 t=27887
ai ya 	哎呀	c=2 d=1.15295 t=27887
an 	按	c=11 d=3.68797 t=27887
an an 	按按	c=1 d=0.913931 t=27887
an cuo 	安厝	c=1 d=0.865022 t=27887
an cuo 	按錯	c=2 d=1.10743 t=27887
an hang 	按行	c=1 d=0.694197 t=27887
an hei 	暗黑	c=0 d=0.067032 t=27887
an hei po huai shen 	暗黑破壞神	c=1 d=0.67368 t=27887
an ji suan 	氨基酸	c=1 d=0.955997 t=27887
an mo 	按摩	c=3 d=1.24652 t=27887
an niu 	按鈕	c=11 d=3.21327 t=27887
an pai 	安排	c=2 d=1.18503 t=27887
an quan 	安全	c=0 d=0.218013 t=27887
an quan de 	安全地	c=1 d=0.985112 t=27887
an quan dian 	安全點	c=1 d=0.985112 t=27887
an quan dui qi 	安全對齊	c=1 d=0.865022 t=27887
an quan gan 	安全感	c=1 d=0.57695 t=27887
an quan gui ze 	安全規則	c=1 d=0.951229 t=27887
an shi 	暗示	c=1 d=0.904837 t=27887
an wan 	按完	c=1 d=0.88692 t=27887
an yi xia 	按一下	c=1 d=0.256661 t=27887
an zhao 	按照	c=14 d=3.15217 t=27887
an zhu 	按住	c=1 d=0.704688 t=27887
an zhuang 	安裝	c=41 d=7.16271 t=27887
an zhuang ba 	安裝吧	c=1 d=0.904837 t=27887
an zhuang bao 	安裝包	c=2 d=1.06008 t=27887
an zhuang fei 	安裝費	c=1 d=0.771052 t=27887
ao di li 	奧地利	c=1 d=0.970446 t=27887
ao han 	傲寒	c=1 d=0.918512 t=27887
ao shi yin ti 	澳式引體	c=1 d=0.891366 t=27887
ao ye 	熬夜	c=1 d=0.847894 t=27887
ao zhou 	澳洲	c=2 d=1.00673 t=27887
ba 	吧	c=217 d=14.8747 t=27887
ba 	把	c=66 d=5.47006 t=27887
ba ba 	粑粑	c=2 d=1.7827 t=27887
ba chu lai 	拔出來	c=1 d=0.722527 t=27887
ba da tong 	八達通	c=1 d=0.609571 t=27887
ba gua 	八卦	c=1 d=0.900325 t=27887
ba ji 	吧唧	c=0 d=0.099005 t=27887
ba jiao 	八角	c=1 d=0.806541 t=27887
ba luo si 	巴洛斯	c=1 d=0.818731 t=27887
ba ta 	把他	c=2 d=0.951229 t=27887
ba ta 	把它	c=4 d=1.97892 t=27887
ba wo 	把我	c=6 d=1.56445 t=27887
ba wo 	把握	c=1 d=0.697676 t=27887
bai 	白	c=0 d=0.0879337 t=27887
bai cao 	白操	c=1 d=0.390628 t=27887
bai cuo 	敗挫	c=1 d=0.995012 t=27887
bai du 	百度	c=1 d=0.873716 t=27887
bai lian 	百鍊	c=1 d=1 t=27887
bai ming 	擺明	c=1 d=0.408608 t=27887
bai ming dan 	白名單	c=7 d=2.38479 t=27887
bai piao 	白嫖	c=2 d=0.985112 t=27887
bai song 	白送	c=1 d=0.869358 t=27887
bai tian 	白天	c=1 d=0.873716 t=27887
ban 	半	c=0 d=0.0913931 t=27887
ban 	板	c=1 d=0.45612 t=27887
ban 	版	c=2 d=0.980199 t=27887
ban 	班	c=0 d=0.0980199 t=27887
ban 	辦	c=0 d=0.0970446 t=27887
ban ben 	版本	c=20 d=5.96906 t=27887
ban dao 	搬到	c=1 d=0.755784 t=27887
ban dao 	辦到	c=0 d=0.0774916 t=27887
ban dao ti 	半導體	c=3 d=1.77575 t=27887
ban fa 	辦法	c=6 d=2.76355 t=27887
ban jia 	半價	c=1 d=0.386741 t=27887
ban kuai 	板塊	c=3 d=1.78465 t=27887
ban lai 	搬來	c=1 d=0.637628 t=27887
ban tian 	半天	c=1 d=0.847894 t=27887
ban xiao shi 	半小時	c=4 d=1.4189 t=27887
ban zhu 	版主	c=1 d=0.687289 t=27887
bang 	幫	c=6 d=1.66387 t=27887
bang 	棒	c=1 d=0.687289 t=27887
bang ding 	綁定	c=2 d=1.04605 t=27887
bang mang 	幫忙	c=1 d=0.995012 t=27887
bang wo 	幫我	c=80 d=8.35074 t=27887
bang wo men 	幫我們	c=1 d=0.798516 t=27887
bang zhu 	幫助	c=1 d=0.557106 t=27887
bao 	保	c=1 d=0.878095 t=27887
bao 	包	c=2 d=0.767206 t=27887
bao 	煲	c=1 d=0.519442 t=27887
bao 	爆	c=1 d=0.927743 t=27887
bao bao 	寶寶	c=30 d=5.08456 t=27887
bao bao 	抱抱	c=6 d=3.01917 t=27887
bao chi 	保持	c=5 d=1.69379 t=27887
bao cun 	保存	c=2 d=1.36404 t=27887
bao cuo 	報錯	c=47 d=9.02593 t=27887
bao dao 	報道	c=1 d=0.946485 t=27887
bao fa 	爆發	c=2 d=0.507513 t=27887
bao feng 	暴風	c=1 d=0.919214 t=27887
bao feng dun 	暴風盾	c=2 d=1.69156 t=27887
bao fu 	包袱	c=1 d=0.826959 t=27887
bao gui 	寶貴	c=1 d=0.798516 t=27887
bao han 	包含	c=8 d=2.12063 t=27887
bao hao 	保號	c=1 d=0.585669 t=27887
bao jiang 	爆漿	c=1 d=0.631284 t=27887
bao kuo 	包括	c=9 d=2.49355 t=27887
bao li 	暴力	c=0 d=0.0637628 t=27887
bao liu 	保留	c=26 d=3.9446 t=27887
bao qian 	抱歉	c=2 d=1.67133 t=27887
bao shou 	保守	c=0 d=0.0767206 t=27887
bao shou qi jian 	保守起見	c=1 d=0.771052 t=27887
bao xian 	保險	c=2 d=1.41067 t=27887
bao xian qi jian 	保險起見	c=1 d=0.802519 t=27887
bao xiang 	爆香	c=2 d=0.127652 t=27887
bao zha 	爆炸	c=1 d=0.215456 t=27887
bao zhe 	抱着	c=1 d=0.0464212 t=27887
bao zheng 	保證	c=2 d=0.89304 t=27887
bao zi 	包子	c=0 d=0.0955997 t=27887
bei 	倍	c=1 d=0.582748 t=27887
bei 	備	c=1 d=0.980199 t=27887
bei 	唄	c=5 d=2.71879 t=27887
bei 	盃	c=2 d=1.23049 t=27887
bei 	背	c=2 d=1.23048 t=27887
bei 	被	c=50 d=5.29368 t=27887
bei bei 	杯杯	c=1 d=0.826959 t=27887
bei guan 	悲觀	c=1 d=0.529935 t=27887
bei jing 	北京	c=2 d=1.27008 t=27887
bei jing 	背景	c=2 d=0.836978 t=27887
bei jing tu 	背景圖	c=1 d=0.83527 t=27887
bei kao 	背靠	c=1 d=0.810584 t=27887
bei ni 	被你	c=2 d=1.56196 t=27887
bei po 	被迫	c=1 d=0.477114 t=27887
bei ren 	被人	c=1 d=0.540641 t=27887
bei ta 	被她	c=1 d=0.904837 t=27887
bei wo 	被我	c=2 d=1.52642 t=27887
bei xuan 	備選	c=1 d=0.806541 t=27887
bei yong 	備用	c=1 d=0.852144 t=27887
bei zhu 	備註	c=3 d=1.61619 t=27887
ben 	本	c=3 d=0.916106 t=27887
ben cang ku 	本倉庫	c=7 d=3.44149 t=27887
ben dan 	笨蛋	c=1 d=0.355226 t=27887
ben di 	本地	c=9 d=3.05959 t=27887
ben di hua 	本地化	c=2 d=1.22028 t=27887
ben ji 	本機	c=5 d=2.17156 t=27887
ben jin 	本金	c=1 d=0.794534 t=27887
ben lai 	本來	c=7 d=2.17058 t=27887
ben li 	本里	c=1 d=0.683861 t=27887
ben ren 	本人	c=2 d=0.742806 t=27887
ben shen 	本身	c=4 d=1.41151 t=27887
ben zhi 	本質	c=4 d=1.29947 t=27887
beng kui 	崩潰	c=2 d=0.759572 t=27887
beng le 	崩了	c=3 d=2.6401 t=27887
bi 	必	c=1 d=0.97531 t=27887
bi 	比	c=4 d=1.0465 t=27887
bi huan 	閉環	c=1 d=0.755784 t=27887
bi jiao 	比較	c=11 d=2.63804 t=27887
bi jiao cha 	比較差	c=2 d=1.56036 t=27887
bi jiao duo 	比較多	c=1 d=0.918512 t=27887
bi jiao hao 	比較好	c=6 d=2.67099 t=27887
bi jiao nan 	比較難	c=1 d=0.65377 t=27887
bi jing 	畢竟	c=5 d=1.81044 t=27887
bi le di 	比樂蒂	c=1 d=0.429557 t=27887
bi li 	比例	c=1 d=0.0439369 t=27887
bi mian 	避免	c=6 d=1.89592 t=27887
bi ni 	比你	c=1 d=0.946485 t=27887
bi qi 	比起	c=2 d=0.941765 t=27887
bi ren 	逼人	c=1 d=0.980199 t=27887
